seg_idx,circuitid,substation,division,mid_lat,mid_lon
1069,042631110,04263,Sonoma,38.23676123226523,-122.63806780958322
1070,042651101,04265,North Bay,38.17031753481894,-122.24431542022272
1071,042651102,04265,North Bay,38.1944194065956,-122.25271732727235
1072,042651103,04265,North Bay,38.16092427279235,-122.25709400969673
1073,042651104,04265,North Bay,38.14947162459148,-122.26647641884871
1074,042651105,04265,North Bay,38.17019718012854,-122.26865047076167
1075,042651106,04265,North Bay,38.1361513001686,-122.24340089949752
1076,042651107,04265,North Bay,38.17930672515909,-122.27179330467365
1077,042661102,04266,Humboldt,39.40597504161426,-123.34011259659412
1078,042661103,04266,Humboldt,39.385480554786355,-123.3182039842753
1079,042661104,04266,Humboldt,39.42699270042708,-123.39237276151866
1080,042681101,04268,Humboldt,39.71281690494754,-123.48898087866367
1081,042681102,04268,Humboldt,39.71113452127787,-123.65316562969032
1082,042711101,04271,North Bay,38.58203711127316,-122.65867359212965
1083,042711102,04271,North Bay,38.53487776922429,-122.52851402925873
1084,042721102,04272,Sonoma,38.316747633300245,-122.48113325940875
1085,042721103,04272,Sonoma,38.29232827196409,-122.45431690023896
1086,042721104,04272,Sonoma,38.27086242416146,-122.47346044246878
1087,042721105,04272,Sonoma,38.272633262558415,-122.43715903058684
1088,042721106,04272,Sonoma,38.29330051509387,-122.4712812090865
1089,042721107,04272,Sonoma,38.26020803801355,-122.45036543346198
1090,042751111,04275,Sonoma,38.59452152434875,-122.8299873394752
1091,042751113,04275,Sonoma,38.58299297661762,-122.89220341019382
1092,042761101,04276,Humboldt,39.67355201140244,-123.78695597079715
1093,042761102,04276,Humboldt,39.357988277209046,-123.63393099955495
1094,042761103,04276,Humboldt,39.42536848612609,-123.80406586754448
1095,042761104,04276,Humboldt,39.4450171625865,-123.76087089953744
1096,042771111,04277,Humboldt,39.1974153371982,-123.21340558868557
1097,042771113,04277,Humboldt,39.121425057025526,-123.20267150565272
1098,042771114,04277,Humboldt,39.13693329683915,-123.17688258446933
1099,042771115,04277,Humboldt,39.17439445773505,-123.22892889465142
1100,042811111,04281,Sonoma,38.43606145712148,-123.09874091385636
1101,042811112,04281,Sonoma,38.46452717317511,-123.01133503485849
1102,042811113,04281,Sonoma,38.49246380558734,-123.00907879988317
1103,042821101,04282,Sonoma,38.808688541198535,-123.01956593404381
1104,042821102,04282,Sonoma,38.870436820482134,-122.97284973857467
1105,042841111,04284,Humboldt,38.73263448022746,-123.48227302325996
1106,042841112,04284,Humboldt,38.857329723151416,-123.63148488867976
1107,042851121,04285,Sonoma,38.59059659019598,-123.11046583600285
1108,042861101,04286,Humboldt,38.72944605220841,-123.34943000827018
1109,042871101,04287,Humboldt,39.16804841535643,-122.96306684374873
1110,042891101,04289,Sonoma,38.73344741007546,-122.94353080638669
1111,042891102,04289,Sonoma,38.70930798341413,-122.87626785674634
1112,042951101,04295,Humboldt,39.357727822039024,-123.23310000882152
1113,042981101,04298,Humboldt,39.22437800498725,-123.7665724039753
1114,042991103,04299,North Bay,38.018979941899076,-122.52246052014729
1115,042991104,04299,North Bay,37.9995824854472,-122.55878880217358
1116,042991105,04299,North Bay,38.030097147362895,-122.57023147309393
1117,042991106,04299,North Bay,38.052041983587095,-122.52737157312946
1118,042991107,04299,North Bay,38.00402007097677,-122.53683026620443
1119,043021101,04302,North Bay,38.06510630565168,-122.70162240810944
1120,043021102,04302,North Bay,38.00661819422061,-122.63014985593725
1121,043051101,04305,North Bay,38.54043584336947,-122.236179006456
1122,043061101,04306,Humboldt,39.752868318532165,-123.2000348492443
1123,043071101,04307,Sonoma,38.34053447193605,-122.50498930538922
1124,043071102,04307,Sonoma,38.32240325359973,-122.5191229088634
1125,043071103,04307,Sonoma,38.437344991482576,-122.59022389500814
1126,043081101,04308,Humboldt,39.36768916946396,-123.81507636320751
1127,043091101,04309,North Bay,37.927015461857145,-122.5181244909403
1128,043091102,04309,North Bay,37.95353682976174,-122.53519283176702
1129,043091103,04309,North Bay,37.94874976467581,-122.53546014299178
1130,043091104,04309,North Bay,37.89848816699111,-122.47014298413504
1131,043141101,04314,Humboldt,38.837332857862094,-122.76169627761742
1132,043141102,04314,Humboldt,38.788103336629405,-122.52093371714975
1133,043141103,04314,Humboldt,38.74163766073901,-122.52470536098166
1134,043161101,04316,Sonoma,38.35784262352001,-122.93250669780461
1135,043181102,04318,Sonoma,38.3762412455342,-122.71738904860112
1136,043181104,04318,Sonoma,38.40822466622257,-122.72267251111857
1137,043182101,04318,Sonoma,38.36250801838732,-122.6136205547239
1138,043182103,04318,Sonoma,38.36812526893779,-122.68399146205023
1139,043182105,04318,Sonoma,38.35500352000756,-122.70811529015958
1140,043182107,04318,Sonoma,38.34815900785435,-122.71809105699062
1141,043191101,04319,Humboldt,39.07367916116828,-122.60230780251393
1142,043191102,04319,Humboldt,38.97619754765698,-122.6571605606001
1143,043201101,04320,North Bay,38.12133685951989,-122.59466920227277
1144,043201102,04320,North Bay,38.11666055895128,-122.6563710323837
1145,043211101,04321,Humboldt,39.038904022464635,-122.94497694227019
1146,043211102,04321,Humboldt,39.076072144684545,-122.93042120424818
1147,043251101,04325,North Bay,38.07699936783362,-122.15636285851255
1148,043251102,04325,North Bay,38.12564145695235,-122.10120777370997
1149,043251103,04325,North Bay,38.047939497675834,-122.14011128142893
1150,043251104,04325,North Bay,38.11271981077819,-122.20335251043453
1151,043251105,04325,North Bay,38.05815034357373,-122.15247375359588
1152,043281103,04328,North Bay,38.106498877886885,-122.24953660848189
1153,043281105,04328,North Bay,38.1034375762235,-122.25817414892356
1154,043291102,04329,North Bay,38.32307243122609,-122.29808961588965
1155,043291103,04329,North Bay,38.33026534289736,-122.30147678253603
1156,043291104,04329,North Bay,38.350410233601785,-122.24979215627673
1157,043291105,04329,North Bay,38.331134993276486,-122.26334412306284
1158,043292101,04329,North Bay,38.336281867163784,-122.31002833260894
1159,043292102,04329,North Bay,38.42150191791265,-122.34798891789913
